Name;Rang;TruppenstÑrke;Clantruhen;Punkte Total (Ist);Norm (Soll);Differenz;NormerfÅllung;Timestamp;Arena Chests;Common Chests;;;;;;;;;;;;Rare Chests;;;;;;;;;;;;Epic Chests;;;;;;;;;;;;Chests of Tartaros;;;;;;;;;;;;;;Elven Chests;;;;;;;;;;;;Cursed Chests;;;;;;Bank Chests;;;;;;;;;;;;;;Runic Chests;;;;;;;;;;;;;;Heroic Chests;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vault of the Ancients;;;;;;;;;;;;;;;;Rise of the Ancients;;;Epic Ancient squad;EAs Punkte;Union Chest;Union Total;Jormungandr Chests;Jormungandr Total;
;;;;;;;;;Arena Total;LV 5;;LV 10;;LV 15;;LV 20;;LV 25;;Anzahl gesamt;Punkte gesamt;LV 10;;LV 15;;LV 20;;LV 25;;LV 30;;Anzahl gesamt;Punkte gesamt;LV 15;;LV 20;;LV 25;;LV 30;;LV 35;;Anzahl gesamt;Punkte gesamt;LV 10;;LV 15;;LV 20;;LV 25;;LV 30;;LV 35;;Anzahl gesamt;Punkte gesamt;LV 10;;LV 15;;LV 20;;LV 25;;LV 30;;Anzahl gesamt;Punkte gesamt;LV 20;;LV 25;;Anzahl gesamt;Punkte gesamt;Wooden;;Bronze;;Silver;;Golden;;Precious;;Magic;;Anzahl gesamt;Punkte gesamt;LV 20-24;;LV 25-29;;LV 30-34;;LV 35-39;;LV 40-44;;LV 45;;Anzahl gesamt;Punkte gesamt;LV 16;;LV 17;;LV 18;;LV 19;;LV 20;;LV 21;;LV 22;;LV 23;;LV 24;;LV 25;;LV 26;;LV 27;;LV 28;;LV 29;;LV 30;;LV 31;;LV 32;;LV 33;;LV 34;;LV 35;;LV 36;;LV 37;;LV 38;;LV 39;;LV 40;;LV 41;;LV 42;;LV 43;;LV 44;;LV 45;;Anzahl gesamt;Punkte gesamt;LV 10-14;;LV 15-19;;LV 20-24;;LV 25-29;;LV 30-34;;LV 35-39;;LV 40-44;;Anzahl gesamt;Punkte gesamt;Quick March Chest;Ancients Chest;ROTA Total;;;;;;;
;;;;;;;;;;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;;;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;;;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;;;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;;;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;;;Anzahl;Punkte;Anzahl;Punkte;;;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;;;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;;;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;;;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;Anzahl;Punkte;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ClanfÅhrer;G7;309;1262;11000;-9738;11%;;;;;;;;;;;18;4608;18;4608;;;;;;;;;;;;;;;;;1;768;;;;;1;768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;;;;14;;;;;276 û 0;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vorgesetzter;G7;38;13900;11000;2900;126%;;1 û 0;;;;;;;;;8;2048;8;2048;;;;;;;6;2100;3;3840;9;5940;;;1;192;4;3072;6;9000;;;11;12264;;;;;;;;;;;;;;;;;;;;;;;2;700;2;700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;1;0;;;;;7;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vorgesetzter;G8;161;49076;14000;35076;351%;;;;;;;;;;;86;22016;86;22016;3;48;;;;;19;6650;;;22;6698;;;;;40;30720;;;;;40;30720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Offizier;G7;49;4040;11000;-6960;37%;;;;;;;;;9;576;4;1024;13;1600;1;16;9;360;;;;;;;10;376;1;60;4;768;2;1536;;;;;7;2364;;;;;;;;;;;;;;;;;6;240;;;;;;;6;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
