Name;Type;Level;Source
Merchant's Chest;;;Mercenary Exchange
Olympus Chest;;;Event Trials of Olympus
Olympus Chest;;;Event 11315 of Olympus
Olympus Chest;;;Event 11215 of Olympus
Chest of Authority;;;Authority Rush tournament
Authority Rush tournament;;Authority Rush tournament;Authority Rush tournament
Common Chest of Wealth;;;Clan wealth
Epic Chest of Wealth;;;Clan wealth
Legendary Chest of Wealth;;;Clan wealth
Rare Chest of Wealth;;;Clan wealth
Uncommon Chest of Wealth;;;Clan wealth
Bronze Chest;;;Clash for the Throne tournament
Silver Chest;;;Clash for the Throne tournament
Wooden Chest;;;Clash for the Throne tournament
Bronze Chest;;;Clash for the Throne tournament
Silver Chest;;;Clash for the Throne tournament
Wooden Chest;;;Clash for the Throne tournament
Olympus Chest;;;Event 11215 of Olympus
Olympus Chest;;;Event 11315 of Olympus
Olympus Chest;;;Event Trials of Olympus
Sakura of Plenty Chest;;;Sakura of Plenty
Elven Citadel Chest;;;Level Citadel
Fire Chest;;;Level Crypt
Mayan Chest;;;Level Crypt
Sand Chest;;;Level Crypt
Rare Dragon Chest;;;Level rare Crypt
Merchant's Chest;;;Mercenary Exchange
Pacified Mimic Chest;;;Mimic Chest
Sakura of Plenty Chest;;;Sakura of Plenty
