Name;Type;Level;Source;category;points;Mapping_OK
Gladiator's Chest;Arena;;Arena;Arena Chests;0;OK
Chest of Authority;Authority Rush tournament;;Authority Rush tournament;;;diese Truhe als Fallback ignorieren
Bronze Chest;Bank;;Bank;Bank Chests;100;OK
Conqueror's Chest;Bank;;Bank;;;diese Truhe als Fallback ignorieren
Golden Chest;Bank;;Bank;Bank Chests;500;OK
Magic Chest;Bank;;Bank;Bank Chests;2500;OK
Precious Chest;Bank;;Bank;Bank Chests;1000;OK
silver Chest;Bank;;Bank;Bank Chests;200;OK
Silver Chest;Bank;;Bank;Bank Chests;200;OK
sliver Chest;Bank;;Bank;Bank Chests;200;OK
sliver chest;Bank;;Bank;Bank Chests;200;OK
Wooden Chest;Bank;;Bank;Bank Chests;50;OK
wooden Chest;Bank;;Bank;Bank Chests;50;OK
wooden chest;Bank;;Bank;Bank Chests;50;OK
Cursed Citadel Chest;Citadel;20;Level 20 Citadel;Cursed Chests;80;OK
cursed citadel Chest;Citadel;20;Level 20 Citadel;Cursed Chests;80;OK
cursed Citadel Chest;Citadel;20;Level 20 Citadel;Cursed Chests;80;OK
Cursed Citadel Chest;Citadel;25;Level 25 Citadel;Cursed Chests;170;OK
cursed citadel Chest;Citadel;25;Level 25 Citadel;Cursed Chests;170;OK
Elven Citadel Chest;Citadel;10;Level 10 Citadel;Elven Chests;20;OK
Elven Citadel Chest;Citadel;15;Level 15 Citadel;Elven Chests;40;OK
Elven Citadel Chest;Citadel;20;Level 20 Citadel;Elven Chests;80;OK
Elven citadel Chest;Citadel;20;Level 20 Citadel;Elven Chests;80;OK
Elven Citadel Chest;Citadel;25;Level 25 Citadel;Elven Chests;170;OK
Elven Citadel Chest;Citadel;30;Level 30 Citadel;Elven Chests;350;OK
Common Chest of Wealth;Clan wealth;;Clan wealth;;;diese Truhe als Fallback ignorieren
Epic Chest of Wealth;Clan wealth;;Clan wealth;;;diese Truhe als Fallback ignorieren
Legendary Chest of Wealth;Clan wealth;;Clan wealth;;;diese Truhe als Fallback ignorieren
Rare Chest of Wealth;Clan wealth;;Clan wealth;;;diese Truhe als Fallback ignorieren
Uncommon Chest of Wealth;Clan wealth;;Clan wealth;;;diese Truhe als Fallback ignorieren
Bronze Chest;Clash for the Throne tournament;;Clash for the Throne tournament;;;diese Truhe als Fallback ignorieren
Silver Chest;Clash for the Throne tournament;;Clash for the Throne tournament;;;diese Truhe als Fallback ignorieren
Wooden Chest;Clash for the Throne tournament;;Clash for the Throne tournament;;;diese Truhe als Fallback ignorieren
Barbarian Chest;Common Crypt;10;Level 10 Crypt;Common Chests;10;OK
Barbarian Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
Barbarian Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
Barbarian Chest;Common Crypt;25;Level 25 Crypt;Common Chests;256;OK
Barbarian Chest;Common Crypt;5;Level 5 Crypt;Common Chests;2;OK
Bone Chest;Common Crypt;10;Level 10 Crypt;Common Chests;10;OK
Bone Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
Bone Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
Bone Chest;Common Crypt;25;Level 25 Crypt;Common Chests;256;OK
Bone Chest;Common Crypt;5;Level 5 Crypt;Common Chests;2;OK
cnome workshop Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
Cobra Chest;Common Crypt;10;Level 10 Crypt;Common Chests;10;OK
Cobra Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
Cobra Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
Cobra Chest;Common Crypt;25;Level 25 Crypt;Common Chests;256;OK
Cobra Chest;Common Crypt;5;Level 5 Crypt;Common Chests;2;OK
Elegant Chest;Common Crypt;10;Level 10 Crypt;Common Chests;10;OK
Elegant Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
Elegant Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
Elegant Chest;Common Crypt;25;Level 25 Crypt;Common Chests;256;OK
Elegant Chest;Common Crypt;5;Level 5 Crypt;Common Chests;2;OK
Fire Chest;Common Crypt;10;Level 10 Crypt;Common Chests;10;OK
Fire Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
Fire Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
Fire Chest;Common Crypt;25;Level 25 Crypt;Common Chests;256;OK
Fire Chest;Common Crypt;5;Level 5 Crypt;Common Chests;2;OK
Fo rgotten Chest;Common Crypt;20;Level 20 Crypt;Common Chests;65;OK
Fo rgotten Chest;Common Crypt;25;Level 25 Crypt;Common Chests;256;OK
Fo rgotten Chest;Common Crypt;5;Level 5 Crypt;Common Chests;2;OK
Forgotten Chest;Common Crypt;10;Level 10 Crypt;Common Chests;10;OK
Forgotten Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
Forgotten Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
Forgotten Chest;Common Crypt;25;Level 25 Crypt;Common Chests;256;OK
Forgotten Chest;Common Crypt;5;Level 5 Crypt;Common Chests;2;OK
Gnome Workshop Chest;Common Crypt;10;Level 10 Crypt;Common Chests;10;OK
Gnome Workshop Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
Gnome Workshop Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
Gnome Workshop Chest;Common Crypt;25;Level 25 Crypt;Common Chests;256;OK
Gnome Workshop Chest;Common Crypt;5;Level 5 Crypt;Common Chests;2;OK
Infernal Chest;Common Crypt;10;Level 10 Crypt;Common Chests;10;OK
Infernal Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
Infernal Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
infernal Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
Infernal Chest;Common Crypt;25;Level 25 Crypt;Common Chests;256;OK
Infernal Chest;Common Crypt;5;Level 5 Crypt;Common Chests;2;OK
Mayan Chest;Common Crypt;10;Level 10 Crypt;Common Chests;10;OK
Mayan Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
Mayan Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
Mayan Chest;Common Crypt;25;Level 25 Crypt;Common Chests;256;OK
Mayan Chest;Common Crypt;5;Level 5 Crypt;Common Chests;2;OK
Orc Chest;Common Crypt;10;Level 10 Crypt;Common Chests;10;OK
orc Chest;Common Crypt;10;Level 10 Crypt;Common Chests;10;OK
Orc Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
orc Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
Orc Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
orc Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
Orc Chest;Common Crypt;25;Level 25 Crypt;Common Chests;256;OK
orc Chest;Common Crypt;25;Level 25 Crypt;Common Chests;256;OK
Orc Chest;Common Crypt;5;Level 5 Crypt;Common Chests;2;OK
orc Chest;Common Crypt;5;Level 5 Crypt;Common Chests;2;OK
ore Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
ore Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
ore Chest;Common Crypt;25;Level 25 Crypt;Common Chests;64;OK
Sand Chest;Common Crypt;10;Level 10 Crypt;Common Chests;10;OK
sand Chest;Common Crypt;10;Level 10 Crypt;Common Chests;10;OK
Sand Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
sand Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
Sand Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
sand Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
Sand Chest;Common Crypt;25;Level 25 Crypt;Common Chests;256;OK
sand Chest;Common Crypt;25;Level 25 Crypt;Common Chests;256;OK
Sand Chest;Common Crypt;5;Level 5 Crypt;Common Chests;2;OK
sand Chest;Common Crypt;5;Level 5 Crypt;Common Chests;2;OK
Stone Chest;Common Crypt;10;Level 10 Crypt;Common Chests;10;OK
Stone Chest;Common Crypt;15;Level 15 Crypt;Common Chests;20;OK
Stone Chest;Common Crypt;20;Level 20 Crypt;Common Chests;64;OK
Stone Chest;Common Crypt;25;Level 25 Crypt;Common Chests;256;OK
Stone Chest;Common Crypt;5;Level 5 Crypt;Common Chests;2;OK
Golden Guardian Epic Chest;Epic Ancient squad;;Epic Ancient squad;Epic Ancient squad;0;OK
Abandoned Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Abandoned Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
