Datum,Clanmate,Points,Truhen-Name,Typ,Source,Level
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Bone Chest,Common Crypt,Level 25 Crypt,25
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Orc Chest,Common Crypt,Level 20 Crypt,20
2025-06-02,Danara,0,Rare Dragon Chest,rare Crypt,Level 25 rare Crypt,25
2025-06-02,Danara,0,Rare Dragon Chest,rare Crypt,Level 25 rare Crypt,25
2025-06-02,Danara,0,Rare Dragon Chest,rare Crypt,Level 25 rare Crypt,25
2025-06-02,Danara,0,Ancient Warrior's Chest,epic Crypt,Level 20 epic Crypt,20
2025-06-02,Danara,0,Ancient Warrior's Chest,epic Crypt,Level 20 epic Crypt,20
2025-06-02,Danara,0,Ancient Warrior's Chest,epic Crypt,Level 20 epic Crypt,20
2025-06-02,Danara,0,Ancient Warrior's Chest,epic Crypt,Level 20 epic Crypt,20
2025-06-02,Danara,0,Rare Dragon Chest,rare Crypt,Level 25 rare Crypt,25
2025-06-02,Danara,0,Rare Dragon Chest,rare Crypt,Level 25 rare Crypt,25
