Name;Type;Level;Source
Olympus Chest;Event Trials of Olympus;;Event Trials of Olympus
Olympus Chest;Event 11315 of Olympus;;Event 11315 of Olympus
Olympus Chest;Event 11215 of Olympus;;Event 11215 of Olympus
Chest of Authority;Authority Rush tournament;;Authority Rush tournament
Authority Rush tournament;Authority Rush tournament;Authority Rush tournament;Authority Rush tournament
Common Chest of Wealth;Clan wealth;;Clan wealth
Epic Chest of Wealth;Clan wealth;;Clan wealth
Legendary Chest of Wealth;Clan wealth;;Clan wealth
Rare Chest of Wealth;Clan wealth;;Clan wealth
Uncommon Chest of Wealth;Clan wealth;;Clan wealth
Bronze Chest;Clash for the Throne tournament;;Clash for the Throne tournament
Silver Chest;Clash for the Throne tournament;;Clash for the Throne tournament
Wooden Chest;Clash for the Throne tournament;;Clash for the Throne tournament
Bronze Chest;Clash for the Throne tournament;;Clash for the Throne tournament
Silver Chest;Clash for the Throne tournament;;Clash for the Throne tournament
Wooden Chest;Clash for the Throne tournament;;Clash for the Throne tournament
Olympus Chest;Event 11215 of Olympus;;Event 11215 of Olympus
Olympus Chest;Event 11315 of Olympus;;Event 11315 of Olympus
Olympus Chest;Event Trials of Olympus;;Event Trials of Olympus
Sakura of Plenty Chest;Sakura of Plenty;;Sakura of Plenty
Elven Citadel Chest;Level Citadel;;Level Citadel
Fire Chest;Level Crypt;;Level Crypt
Mayan Chest;Level Crypt;;Level Crypt
Sand Chest;Level Crypt;;Level Crypt
Rare Dragon Chest;Level rare Crypt;;Level rare Crypt
Merchant's Chest;Mercenary Exchange;;Mercenary Exchange
Pacified Mimic Chest;Mimic Chest;;Mimic Chest
Sakura of Plenty Chest;Sakura of Plenty;;Sakura of Plenty
