Name;Kategorie;Level;Truhen_CSV;Truhen_JSON;Punkte_CSV;Punkte_JSON;Status
Upasara Wulung;Rare Dragon Chest;20;0;9;0;1152;Fehlt in CSV
Upasara Wulung;Elven Citadel Chest;10;0;3;0;60;Fehlt in CSV
Upasara Wulung;Elegant Chest;20;0;43;0;2752;Fehlt in CSV
Upasara Wulung;Bone Chest;20;0;26;0;1664;Fehlt in CSV
Upasara Wulung;Bone Chest;25;0;1;0;256;Fehlt in CSV
Upasara Wulung;Golden Guardian Epic Chest;0;0;510;0;0;Fehlt in CSV
Upasara Wulung;Runic Chest;20;0;1;0;0;Fehlt in CSV
Upasara Wulung;Runic Chest;25;0;1;0;0;Fehlt in CSV
Upasara Wulung;Sapphire Chest;25;0;3;0;0;Fehlt in CSV
Upasara Wulung;Sapphire Chest;20;0;2;0;0;Fehlt in CSV
Upasara Wulung;Sapphire Chest;35;0;8;0;0;Fehlt in CSV
Upasara Wulung;Pumpkin Chest;0;0;1;0;0;Fehlt in CSV
Upasara Wulung;Jörmungandr's Chest;0;0;10;0;0;Fehlt in CSV
Upasara Wulung;Quick March Chest;0;0;9;0;0;Fehlt in CSV
Upasara Wulung;Harpy Chest;15;0;11;0;660;Fehlt in CSV
Upasara Wulung;Harpy Chest;20;0;15;0;2880;Fehlt in CSV
Upasara Wulung;Merchant's Chest;0;0;1;0;0;Fehlt in CSV
Upasara Wulung;Ancients' Chest;0;0;100;0;0;Fehlt in CSV
Upasara Wulung;Ancient Warrior's Chest;15;0;14;0;840;Fehlt in CSV
Upasara Wulung;Ancient Warrior's Chest;20;0;11;0;2112;Fehlt in CSV
Upasara Wulung;Fire Chest;20;0;102;0;6528;Fehlt in CSV
Upasara Wulung;Scorpion Chest;15;0;14;0;840;Fehlt in CSV
Upasara Wulung;Scorpion Chest;20;0;29;0;5568;Fehlt in CSV
Upasara Wulung;Gladiator's Chest;0;0;2;0;0;Fehlt in CSV
Upasara Wulung;Barbarian Chest;15;0;17;0;340;Fehlt in CSV
Upasara Wulung;Barbarian Chest;20;0;28;0;5376;Fehlt in CSV
Upasara Wulung;Barbarian Chest;25;0;4;0;1024;Fehlt in CSV
Upasara Wulung;Orc Chest;20;0;6;0;384;Fehlt in CSV
Magic Ela;Elven Citadel Chest;10;0;2;0;40;Fehlt in CSV
REY THOR;Sand Chest;15;0;1;0;20;Fehlt in CSV
REY THOR;Sand Chest;10;0;2;0;20;Fehlt in CSV
REY THOR;Turtle Chest;15;0;1;0;60;Fehlt in CSV
REY THOR;Stone Chest;15;0;4;0;80;Fehlt in CSV
REY THOR;Stone Chest;10;0;1;0;10;Fehlt in CSV
REY THOR;Infernal Chest;15;0;4;0;80;Fehlt in CSV
REY THOR;Infernal Chest;20;0;1;0;64;Fehlt in CSV
REY THOR;Rare Dragon Chest;15;0;9;0;360;Fehlt in CSV
REY THOR;Rare Dragon Chest;10;0;1;0;16;Fehlt in CSV
REY THOR;Dark Omens chest;0;0;4;0;0;Fehlt in CSV
REY THOR;Elven Citadel Chest;15;0;4;0;160;Fehlt in CSV
REY THOR;Elven Citadel Chest;10;0;1;0;20;Fehlt in CSV
REY THOR;Elegant Chest;15;0;1;0;20;Fehlt in CSV
REY THOR;Elegant Chest;10;0;1;0;10;Fehlt in CSV
REY THOR;Bone Chest;15;0;3;0;60;Fehlt in CSV
